userId,fieldId,fieldName,fieldVaule
17e4401c77d5d8632168252c5a2b9cdc3fb1623599f4d90a739376cdf517d085,2,LOCATION,1
17e4401c77d5d8632168252c5a2b9cdc3fb1623599f4d90a739376cdf517d085,3,CALL_LOG,1
17e4401c77d5d8632168252c5a2b9cdc3fb1623599f4d90a739376cdf517d085,4,APP_USAGE,1
17e4401c77d5d8632168252c5a2b9cdc3fb1623599f4d90a739376cdf517d085,5,NOTIFICATION,1
17e4401c77d5d8632168252c5a2b9cdc3fb1623599f4d90a739376cdf517d085,6,general,0
17e4401c77d5d8632168252c5a2b9cdc3fb1623599f4d90a739376cdf517d085,7,gender,
17e4401c77d5d8632168252c5a2b9cdc3fb1623599f4d90a739376cdf517d085,8,age,
17e4401c77d5d8632168252c5a2b9cdc3fb1623599f4d90a739376cdf517d085,9,education,
17e4401c77d5d8632168252c5a2b9cdc3fb1623599f4d90a739376cdf517d085,10,bfi2,0
35d39b6776290eec582740d3dbed15be61494e231df6299bd6ca9ade8c90c504,1,STORAGE,1
35d39b6776290eec582740d3dbed15be61494e231df6299bd6ca9ade8c90c504,2,LOCATION,1
35d39b6776290eec582740d3dbed15be61494e231df6299bd6ca9ade8c90c504,3,CALL_LOG,1
35d39b6776290eec582740d3dbed15be61494e231df6299bd6ca9ade8c90c504,4,APP_USAGE,1
35d39b6776290eec582740d3dbed15be61494e231df6299bd6ca9ade8c90c504,5,NOTIFICATION,0
35d39b6776290eec582740d3dbed15be61494e231df6299bd6ca9ade8c90c504,6,general,0
35d39b6776290eec582740d3dbed15be61494e231df6299bd6ca9ade8c90c504,7,gender,
35d39b6776290eec582740d3dbed15be61494e231df6299bd6ca9ade8c90c504,8,age,
35d39b6776290eec582740d3dbed15be61494e231df6299bd6ca9ade8c90c504,9,education,
35d39b6776290eec582740d3dbed15be61494e231df6299bd6ca9ade8c90c504,10,bfi2,0
4fe4c706e2e707750d836a622fe5c305fd485099c279ef591e1de607bb3f5407,1,STORAGE,1
4fe4c706e2e707750d836a622fe5c305fd485099c279ef591e1de607bb3f5407,2,LOCATION,1
4fe4c706e2e707750d836a622fe5c305fd485099c279ef591e1de607bb3f5407,3,CALL_LOG,1
4fe4c706e2e707750d836a622fe5c305fd485099c279ef591e1de607bb3f5407,4,APP_USAGE,1
4fe4c706e2e707750d836a622fe5c305fd485099c279ef591e1de607bb3f5407,5,NOTIFICATION,1
4fe4c706e2e707750d836a622fe5c305fd485099c279ef591e1de607bb3f5407,6,general,0
4fe4c706e2e707750d836a622fe5c305fd485099c279ef591e1de607bb3f5407,7,gender,
4fe4c706e2e707750d836a622fe5c305fd485099c279ef591e1de607bb3f5407,8,age,
4fe4c706e2e707750d836a622fe5c305fd485099c279ef591e1de607bb3f5407,9,education,
4fe4c706e2e707750d836a622fe5c305fd485099c279ef591e1de607bb3f5407,10,bfi2,0
fe2f213a663e31b1cfb73c9f36a198e27e13dd0fbe6ba9ae2c644b08a9d8e684,1,STORAGE,0
fe2f213a663e31b1cfb73c9f36a198e27e13dd0fbe6ba9ae2c644b08a9d8e684,2,LOCATION,1
fe2f213a663e31b1cfb73c9f36a198e27e13dd0fbe6ba9ae2c644b08a9d8e684,3,CALL_LOG,1
fe2f213a663e31b1cfb73c9f36a198e27e13dd0fbe6ba9ae2c644b08a9d8e684,4,APP_USAGE,1
fe2f213a663e31b1cfb73c9f36a198e27e13dd0fbe6ba9ae2c644b08a9d8e684,5,NOTIFICATION,0
fe2f213a663e31b1cfb73c9f36a198e27e13dd0fbe6ba9ae2c644b08a9d8e684,6,general,1
fe2f213a663e31b1cfb73c9f36a198e27e13dd0fbe6ba9ae2c644b08a9d8e684,7,gender,1
fe2f213a663e31b1cfb73c9f36a198e27e13dd0fbe6ba9ae2c644b08a9d8e684,8,age,40
fe2f213a663e31b1cfb73c9f36a198e27e13dd0fbe6ba9ae2c644b08a9d8e684,9,education,5
fe2f213a663e31b1cfb73c9f36a198e27e13dd0fbe6ba9ae2c644b08a9d8e684,10,bfi2,0
61bf50e8b05d44f2b8c0a4f7947f08830616cb2bf4ca5a6eaf11661881175d6b,1,STORAGE,1
61bf50e8b05d44f2b8c0a4f7947f08830616cb2bf4ca5a6eaf11661881175d6b,2,LOCATION,1
61bf50e8b05d44f2b8c0a4f7947f08830616cb2bf4ca5a6eaf11661881175d6b,3,CALL_LOG,1
61bf50e8b05d44f2b8c0a4f7947f08830616cb2bf4ca5a6eaf11661881175d6b,4,APP_USAGE,1
61bf50e8b05d44f2b8c0a4f7947f08830616cb2bf4ca5a6eaf11661881175d6b,5,NOTIFICATION,1
